17980669-c450-40f4-946b-00ac328c12e2,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Jurassic World Jurassic Pull Back Car - Assorted,https://www.kmart.com.au/product/jurassic-world-jurassic-pull-back-car---assorted/2926315,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42855699-1-sz.jpg,3.00,-,Not Rated,0,;,
f91fd3c4-48b7-402a-9083-02906b005f64,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,3 Pack Dreamworks Trolls World Tour Purse Set,https://www.kmart.com.au/product/3-pack-dreamworks-trolls-world-tour-purse-set/2904806,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42872450-1-sz.jpg,6.00											WAS 9,6.00											,Not Rated,0,;,
7b8f8291-4298-426b-9996-82df260c0740,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Minecraft Mini Figure - Assorted,https://www.kmart.com.au/product/minecraft-mini-figure---assorted/2915819,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42859956-1-sz.jpg,3.00						 ea					WAS 5,3.00						 ea					,Not Rated,0,;,
c833fa29-c169-4315-bb08-ec9e53ffbe9c,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Shakeheadz Slob Monsters Unleash the Crazy! Power Drink Toy,https://www.kmart.com.au/product/shakeheadz-slob-monsters-unleash-the-crazy!-power-drink-toy/2907823,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42858355-1-sz.jpg,3.00											WAS 5,3.00											,Not Rated,0,;,
563e8f5a-b313-4be3-99be-fac93a6bf61b,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Wooden Fruit Pie,https://www.kmart.com.au/product/wooden-fruit-pie/2814810,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42839095-1-sz.jpg,4.00											WAS 6,4.00											,Not Rated,0,;,
ebc2a313-031e-4a7c-a026-78f4f74e0b52,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,DreamWorks Trolls World Tour Poppy Styling Head Playset,https://www.kmart.com.au/product/dreamworks-trolls-world-tour-poppy-styling-head-playset/2891301,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42871095-1-sz.jpg,29.00											WAS 39,29.00											,Not Rated,0,;,
229c7681-5b7f-4cd0-a4a1-385514cdb336,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Shopping Cart Playset,https://www.kmart.com.au/product/shopping-cart-playset/2910804,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/1/42835981-1-sz.jpg,7.00											WAS 10,7.00											,Not Rated,0,;Out of stock online,
ea24be34-1f90-4478-b2cc-e3ac5a9e356b,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Unicorn Infant Costume - Ages 6-18 months,https://www.kmart.com.au/product/unicorn-infant-costume---ages-6-18-months/2855347,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42835356-1-sz.jpg,2.00											WAS 4,2.00											,Not Rated,0,;Out of stock online,
bd6e7775-3063-4598-8345-e6bd28e5058e,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Panda Infant Costume - Ages 6-18 Months,https://www.kmart.com.au/product/panda-infant-costume---ages-6-18-months/2855348,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/3/42835363-1-sz.jpg,2.00											WAS 4,2.00											,Not Rated,0,;,
c306dbe0-99c7-496a-a5df-ca62a85a021a,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Koala Infant Costume - Ages 6-18 Months,https://www.kmart.com.au/product/koala-infant-costume---ages-6-18-months/2855349,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42835509-1-sz.jpg,2.00											WAS 4,2.00											,Not Rated,0,;Out of stock online,
